resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,carPerformance
26551,1134,815,9,11,2,7,7,7,7,44,43.195,43721,44,1,01:44.7,240.822,1,0.95
26552,1134,4,117,14,8,8,8,8,4,44,49.963,50489,42,17,01:48.1,233.356,1,0.85
26553,1134,839,214,31,9,9,9,9,2,44,52.552,53078,43,7,01:47.0,235.743,1,0.87
26554,1134,817,215,3,13,10,10,10,1,44,54.926,55452,37,12,01:47.4,234.694,1,0.9
26555,1134,840,117,18,15,11,11,11,0,44,+1:03.011,63537,44,18,01:48.1,233.239,1,0.85
26556,1134,848,3,23,10,12,12,12,0,44,+1:03.651,64177,44,16,01:48.0,233.475,1,0.92
26557,1134,842,214,10,12,13,13,13,0,44,+1:04.365,64891,30,11,01:47.4,234.731,1,0.87
26558,1134,825,210,20,17,14,14,14,0,44,+1:06.631,67157,44,14,01:47.8,233.795,1,0.93
26559,1134,822,15,77,14,15,15,15,0,44,+1:10.638,71164,37,9,01:47.0,235.606,1,0.85
26560,1134,852,215,22,20,16,16,16,0,44,+1:16.737,77263,44,15,01:48.0,233.533,1,0.9
26561,1134,858,3,2,18,17,17,17,0,44,+1:26.057,86583,43,13,01:47.5,234.574,1,0.92
26562,1134,807,210,27,16,18,18,18,0,44,+1:28.833,89359,44,19,01:49.0,231.422,1,0.93
26563,1134,855,15,24,19,\N,R,19,0,5,\N,\N,2,20,01:52.1,224.929,31,0.85
26564,1134,847,131,63,6,\N,D,20,0,44,19:57.0,4797566,44,10,01:47.1,235.399,2,0.98
26565,1135,846,1,4,1,1,1,1,26,72,30:45.5,5445519,72,1,01:13.8,207.708,1,1
26566,1135,830,9,33,2,2,2,2,18,72,22.896,5468415,30,9,01:14.8,205.11,1,0.95
26567,1135,844,6,16,6,3,3,3,15,72,25.439,5470958,62,7,01:14.6,205.569,1,0.98
26568,1135,857,1,81,3,4,4,4,12,72,27.337,5472856,36,5,01:14.2,206.533,1,1
26569,1135,832,6,55,10,5,5,5,10,72,32.137,5477656,40,4,01:14.1,206.867,1,0.98
26570,1135,815,9,11,5,6,6,6,8,72,39.542,5485061,69,8,01:14.6,205.563,1,0.95
26571,1135,847,131,63,4,7,7,7,6,72,44.617,5490136,57,3,01:13.9,207.399,1,0.98
26572,1135,1,131,44,14,8,8,8,4,72,49.599,5495118,62,2,01:13.9,207.536,1,0.95
26573,1135,842,214,10,9,9,9,9,2,71,\N,\N,54,11,01:14.9,204.828,11,0.87
26574,1135,4,117,14,7,10,10,10,1,71,\N,\N,34,10,01:14.8,205.093,11,0.85
26575,1135,807,210,27,12,11,11,11,0,71,\N,\N,59,18,01:15.7,202.656,11,0.93
26576,1135,817,215,3,13,12,12,12,0,71,\N,\N,52,13,01:15.2,203.828,11,0.9
26577,1135,840,117,18,8,13,13,13,0,71,\N,\N,51,14,01:15.3,203.739,11,0.85
26578,1135,848,3,23,19,14,14,14,0,71,\N,\N,71,6,01:14.4,205.986,11,0.92
26579,1135,839,214,31,15,15,15,15,0,71,\N,\N,50,15,01:15.4,203.374,11,0.87
26580,1135,858,3,2,18,16,16,16,0,71,\N,\N,26,16,01:15.5,202.973,11,0.93
26581,1135,852,215,22,11,17,17,17,0,71,\N,\N,16,17,01:15.6,202.938,11,0.9
26582,1135,825,210,20,0,18,18,18,0,71,\N,\N,42,12,01:15.0,204.557,11,0.93
26583,1135,822,15,77,16,19,19,19,0,70,\N,\N,45,20,01:15.8,202.215,12,0.85
26584,1135,855,15,24,17,20,20,20,0,70,\N,\N,67,19,01:15.7,202.477,12,0.85
26585,1136,844,6,16,4,1,1,1,25,53,14:40.7,4480727,33,10,01:23.2,250.58,1,0.98
26586,1136,857,1,81,2,2,2,2,18,53,2.664,4483391,53,4,01:21.9,254.503,1,1
26587,1136,846,1,4,1,3,3,3,16,53,6.153,4486880,53,1,01:21.4,256.1,1,1
26588,1136,832,6,55,5,4,4,4,12,53,15.621,4496348,53,9,01:23.2,250.601,1,0.98
26589,1136,1,131,44,6,5,5,5,10,53,22.82,4503547,53,2,01:21.5,255.849,1,0.95
26590,1136,830,9,33,7,6,6,6,8,53,37.932,4518659,43,3,01:21.7,255.12,1,0.96
26591,1136,847,131,63,3,7,7,7,6,53,39.715,4520442,49,5,01:22.0,254.215,1,0.95
26592,1136,815,9,11,8,8,8,8,4,53,54.148,4534875,47,8,01:23.0,251.35,1,0.96
26593,1136,848,3,23,9,9,9,9,2,53,+1:07.456,4548183,53,16,01:23.9,248.514,1,0.93
26594,1136,825,210,20,13,10,10,10,1,53,+1:08.302,4549029,51,12,01:23.4,249.946,1,0.93
26595,1136,4,117,14,11,11,11,11,0,53,+1:08.495,4549222,46,7,01:22.9,251.432,1,0.85
26596,1136,861,3,43,18,12,12,12,0,53,+1:21.308,4562035,53,14,01:23.7,249.077,1,0.93
26597,1136,817,215,3,12,13,13,13,0,53,+1:33.452,4574179,52,17,01:24.2,247.625,1,0.9
26598,1136,839,214,31,15,14,14,14,0,52,\N,\N,52,18,01:24.3,247.261,11,0.87
26599,1136,842,214,10,14,15,15,15,0,52,\N,\N,51,15,01:23.8,248.997,11,0.89
26600,1136,822,15,77,19,16,16,16,0,52,\N,\N,52,13,01:23.6,249.432,11,0.85
26601,1136,807,210,27,10,17,17,17,0,52,\N,\N,44,11,01:23.3,250.432,11,0.93
26602,1136,855,15,24,20,18,18,18,0,52,\N,\N,17,19,01:25.1,245.085,11,0.85
26603,1136,840,117,18,17,19,19,19,0,52,\N,\N,52,6,01:22.2,253.609,11,0.85
26604,1136,852,215,22,16,\N,R,20,0,7,\N,\N,4,20,01:26.2,241.94,25,0.9
26605,1137,857,1,81,2,1,1,1,25,51,32:58.0,5578007,47,9,01:47.1,201.856,1,1
26606,1137,844,6,16,1,2,2,2,18,51,10.91,5588917,44,10,01:47.1,201.843,1,0.98
26607,1137,847,131,63,5,3,3,3,15,51,31.328,5609335,45,2,01:46.6,202.674,1,0.95
26608,1137,846,1,4,15,4,4,4,13,51,36.143,5614150,42,1,01:45.3,205.318,1,1
26609,1137,830,9,33,6,5,5,5,10,51,+1:17.098,5655105,42,3,01:46.8,202.352,1,0.96
26610,1137,4,117,14,7,6,6,6,8,51,+1:25.468,5663475,48,8,01:47.1,201.862,1,0.85
26611,1137,848,3,23,9,7,7,7,6,51,+1:27.396,5665403,43,5,01:46.9,202.07,1,0.93
26612,1137,861,3,43,8,8,8,8,4,51,+1:29.541,5667548,44,12,01:47.3,201.454,1,0.93
26613,1137,1,131,44,0,9,9,9,2,51,+1:32.401,5670408,48,11,01:47.2,201.525,1,0.95
26614,1137,860,210,50,10,10,10,10,1,51,+1:33.127,5671134,47,7,01:47.0,201.879,1,0.93
26615,1137,807,210,27,12,11,11,11,0,51,+1:33.465,5671472,42,14,01:47.7,200.674,1,0.93
26616,1137,842,214,10,18,12,12,12,0,51,+1:57.189,5695196,47,15,01:48.0,200.066,1,0.89
26617,1137,817,215,3,14,13,13,13,0,51,+2:26.907,5724914,39,17,01:48.4,199.398,1,0.9
26618,1137,855,15,24,17,14,14,14,0,51,+2:28.841,5726848,43,13,01:47.6,200.761,1,0.85
26619,1137,839,214,31,0,15,15,15,0,50,\N,\N,35,19,01:48.8,198.572,11,0.89
26620,1137,822,15,77,16,16,16,16,0,50,\N,\N,41,18,01:48.4,199.328,11,0.85
26621,1137,815,9,11,4,17,17,17,0,49,\N,\N,46,6,01:47.0,201.945,31,0.96
26622,1137,832,6,55,3,18,18,18,0,49,\N,\N,46,4,01:46.9,202.223,31,0.98
26623,1137,840,117,18,13,19,19,19,0,45,\N,\N,31,16,01:48.1,199.826,31,0.85
26624,1137,852,215,22,11,\N,R,20,0,14,\N,\N,8,20,01:50.9,194.89,31,0.89
26625,1138,846,1,4,1,1,1,1,25,62,40:52.6,6052571,48,2,01:34.9,187.347,1,1
26626,1138,830,9,33,2,2,2,2,18,62,20.945,6073516,59,5,01:36.0,185.313,1,0.96
26627,1138,857,1,81,5,3,3,3,15,62,41.823,6094394,48,4,01:35.7,185.743,1,1
26628,1138,847,131,63,4,4,4,4,12,62,+1:01.040,6113611,30,10,01:37.0,183.251,1,0.96
26629,1138,844,6,16,9,5,5,5,10,62,+1:02.430,6115001,46,3,01:35.4,186.471,1,0.98
26630,1138,1,131,44,3,6,6,6,8,62,+1:25.248,6137819,43,12,01:37.4,182.6,1,0.96
26631,1138,832,6,55,10,7,7,7,6,62,+1:36.039,6148610,15,7,01:36.6,184.173,1,0.98
26632,1138,4,117,14,7,8,8,8,4,61,\N,\N,54,18,01:37.7,181.95,11,0.85
26633,1138,807,210,27,6,9,9,9,2,61,\N,\N,35,15,01:37.5,182.456,11,0.93
26634,1138,815,9,11,13,10,10,10,1,61,\N,\N,33,16,01:37.5,182.443,11,0.96
26635,1138,861,3,43,12,11,11,11,0,61,\N,\N,35,11,01:37.3,182.846,11,0.93
26636,1138,852,215,22,8,12,12,12,0,61,\N,\N,53,6,01:36.4,184.494,11,0.89
26637,1138,839,214,31,15,13,13,13,0,61,\N,\N,48,20,01:38.0,181.536,11,0.89
26638,1138,840,117,18,17,14,14,14,0,61,\N,\N,36,19,01:37.9,181.745,11,0.85
26639,1138,855,15,24,20,15,15,15,0,61,\N,\N,47,14,01:37.5,182.472,11,0.85
26640,1138,822,15,77,19,16,16,16,0,61,\N,\N,46,17,01:37.5,182.355,11,0.85
26641,1138,842,214,10,18,17,17,17,0,61,\N,\N,46,9,01:36.9,183.478,11,0.89
26642,1138,817,215,3,16,18,18,18,0,61,\N,\N,60,1,01:34.5,188.218,11,0.89
26643,1138,825,210,20,14,19,19,19,0,57,\N,\N,52,13,01:37.4,182.54,3,0.93
26644,1138,848,3,23,11,\N,R,20,0,15,\N,\N,13,8,01:36.9,183.552,131,0.93
26645,1139,844,6,16,4,1,1,1,25,56,35:09.6,5709639,39,6,01:37.8,202.861,1,0.99
26646,1139,832,6,55,3,2,2,2,18,56,8.562,5718201,42,5,01:37.8,203.009,1,0.99
26647,1139,830,9,33,2,3,3,3,15,56,19.412,5729051,42,9,01:38.1,202.276,1,0.96
26648,1139,846,1,4,1,4,4,4,12,56,20.354,5729993,55,4,01:37.7,203.183,1,1
26649,1139,857,1,81,5,5,5,5,10,56,21.921,5731560,42,7,01:37.9,202.76,1,1
26650,1139,847,131,63,20,6,6,6,8,56,56.295,5765934,42,3,01:37.7,203.231,1,0.96
26651,1139,815,9,11,9,7,7,7,6,56,59.072,5768711,45,13,01:38.5,201.461,1,0.96
26652,1139,807,210,27,11,8,8,8,4,56,+1:02.957,5772596,51,12,01:38.4,201.686,1,0.93
26653,1139,859,215,30,19,9,9,9,2,56,+1:10.563,5780202,54,8,01:38.1,202.33,1,0.89
26654,1139,861,3,43,15,10,10,10,1,56,+1:11.979,5781618,46,2,01:37.6,203.325,1,0.93
26655,1139,825,210,20,8,11,11,11,0,56,+1:19.782,5789421,56,10,01:38.2,202.085,1,0.93
26656,1139,842,214,10,6,12,12,12,0,56,+1:30.558,5800197,55,11,01:38.3,201.877,1,0.89
26657,1139,4,117,14,7,13,13,13,0,55,\N,\N,52,17,01:39.3,199.945,11,0.85
26658,1139,852,215,22,10,14,14,14,0,55,\N,\N,54,15,01:39.2,200.082,11,0.89
26659,1139,840,117,18,13,15,15,15,0,55,\N,\N,54,16,01:39.2,200.04,11,0.85
26660,1139,848,3,23,14,16,16,16,0,55,\N,\N,54,14,01:39.1,200.302,11,0.93
26661,1139,822,15,77,16,17,17,17,0,55,\N,\N,53,19,01:40.6,197.333,11,0.85
26662,1139,839,214,31,12,18,18,18,0,55,\N,\N,53,1,01:37.3,203.912,11,0.89
26663,1139,855,15,24,18,19,19,19,0,55,\N,\N,53,18,01:39.3,199.923,11,0.85
26664,1139,1,131,44,17,\N,R,20,0,1,\N,\N,\N,0,\N,\N,20,0.96
26665,1140,832,6,55,1,1,1,1,25,71,40:55.8,6055800,62,7,01:20.1,193.348,1,0.99
26666,1140,846,1,4,3,2,2,2,18,71,4.705,6060505,68,4,01:19.7,194.43,1,1
26667,1140,844,6,16,4,3,3,3,16,71,34.387,6090187,71,1,01:18.3,197.794,1,0.99
26668,1140,1,131,44,6,4,4,4,12,71,44.78,6100580,31,8,01:20.4,192.785,1,0.96
26669,1140,847,131,63,5,5,5,5,10,71,48.536,6104336,63,11,01:20.7,191.926,1,0.96
26670,1140,830,9,33,2,6,6,6,8,71,59.558,6115358,53,13,01:20.9,191.591,1,0.96
26671,1140,825,210,20,7,7,7,7,6,71,+1:03.642,6119442,61,9,01:20.6,192.15,1,0.93
26672,1140,857,1,81,17,8,8,8,4,71,+1:04.928,6120728,65,5,01:20.1,193.525,1,1
26673,1140,807,210,27,10,9,9,9,2,70,\N,\N,69,12,01:20.7,191.885,11,0.93
26674,1140,842,214,10,8,10,10,10,1,70,\N,\N,67,15,01:21.3,190.643,11,0.89
26675,1140,840,117,18,14,11,11,11,0,70,\N,\N,55,16,01:21.3,190.557,11,0.85
26676,1140,861,3,43,16,12,12,12,0,70,\N,\N,50,6,01:20.1,193.462,11,0.93
26677,1140,839,214,31,0,13,13,13,0,70,\N,\N,70,10,01:20.7,192.097,11,0.89
26678,1140,822,15,77,15,14,14,14,0,70,\N,\N,57,14,01:21.1,191.088,11,0.85
26679,1140,855,15,24,19,15,15,15,0,70,\N,\N,56,17,01:21.6,189.991,11,0.85
26680,1140,859,215,30,12,16,16,16,0,70,\N,\N,67,3,01:19.5,194.893,11,0.89
26681,1140,815,9,11,18,17,17,17,0,70,\N,\N,70,2,01:19.2,195.614,11,0.96
26682,1140,4,117,14,13,\N,R,18,0,15,\N,\N,7,18,01:22.7,187.306,23,0.85
26683,1140,848,3,23,9,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4,0.93
26684,1140,852,215,22,11,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4,0.89
